Cycle,Length (mm)
0,10.063
1,10.0646089854805
2,10.0662358839466
3,10.0678806086651
4,10.0695430732095
5,10.071223191459
6,10.072920877598
7,10.0746360461157
8,10.0763686118051
9,10.0781184897626
10,10.0798855953875
11,10.081669844381
12,10.0834711527462
13,10.0852894367869
14,10.0871246131072
15,10.0889765986112
16,10.0908453105018
17,10.0927306662805
18,10.0946325837468
19,10.0965509809975
20,10.0984857764259
21,10.1004368887216
22,10.1024042368695
23,10.1043877401495
24,10.1063873181357
25,10.108402890696
26,10.1104343779912
27,10.1124817004746
28,10.1145447788915
29,10.1166235342782
30,10.1187178879621
31,10.1208277615601
32,10.1229530769791
33,10.1250937564146
34,10.1272497223504
35,10.129420897558
36,10.131607205096
37,10.1338085683094
38,10.1360249108292
39,10.1382561565717
40,10.1405022297378
41,10.1427630548126
42,10.1450385565647
43,10.1473286600456
44,10.1496332905892
45,10.1519523738111
46,10.154285835608
47,10.1566336021573
48,10.1589955999162
49,10.1613717556216
50,10.1637619962887
51,10.1661662492115
52,10.1685844419612
53,10.1710165023861
54,10.1734623586113
55,10.1759219390372
56,10.1783951723401
57,10.1808819874706
58,10.1833823136534
59,10.1858960803871
60,10.188423217443
61,10.1909636548647
62,10.1935173229678
63,10.1960841523391
64,10.1986640738358
65,10.2012570185856
66,10.2038629179852
67,10.2064817037005
68,10.2091133076657
69,10.2117576620827
70,10.2144146994207
71,10.2170843524152
72,10.219766554068
73,10.2224612376464
74,10.2251683366823
75,10.2278877849722
76,10.2306195165761
77,10.2333634658174
78,10.236119567282
79,10.2388877558177
80,10.2416679665339
81,10.2444601348008
82,10.2472641962491
83,10.250080086769
84,10.25290774251
85,10.2557470998803
86,10.2585980955461
87,10.2614606664309
88,10.2643347497155
89,10.2672202828367
90,10.2701172034872
91,10.2730254496151
92,10.275944959423
93,10.2788756713677
94,10.2818175241593
95,10.2847704567613
96,10.2877344083892
97,10.2907093185108
98,10.2936951268448
99,10.2966917733609
100,10.299699198279
101,10.3027173420685
102,10.3057461454479
103,10.3087855493842
104,10.3118354950927
105,10.3148959240356
106,10.3179667779223
107,10.3210479987085
108,10.3241395285954
109,10.3272413100297
110,10.3303532857026
111,10.3334753985494
112,10.336607591749
113,10.3397498087233
114,10.3429019931366
115,10.3460640888951
116,10.3492360401465
117,10.352417791279
118,10.3556092869215
119,10.3588104719422
120,10.3620212914487
121,10.3652416907871
122,10.3684716155418
123,10.3717110115344
124,10.3749598248238
125,10.3782180017052
126,10.3814854887097
127,10.3847622326038
128,10.3880481803889
129,10.3913432793005
130,10.3946474768081
131,10.3979607206143
132,10.4012829586542
133,10.4046141390952
134,10.4079542103364
135,10.4113031210077
136,10.4146608199698
137,10.4180272563131
138,10.4214023793577
139,10.4247861386526
140,10.4281784839749
141,10.4315793653298
142,10.43498873295
143,10.4384065372945
144,10.441832729049
145,10.4452672591248
146,10.4487100786581
147,10.4521611390103
148,10.4556203917666
149,10.4590877887358
150,10.4625632819499
151,10.4660468236634
152,10.4695383663529
153,10.4730378627164
154,10.4765452656731
155,10.4800605283623
156,10.4835836041435
157,10.4871144465955
158,10.4906530095162
159,10.4941992469214
160,10.4977531130453
161,10.5013145623391
162,10.5048835494707
163,10.5084600293246
164,10.5120439570009
165,10.5156352878149
166,10.5192339772967
167,10.5228399811905
168,10.5264532554544
169,10.5300737562595
170,10.5337014399896
171,10.5373362632407
172,10.5409781828205
173,10.5446271557475
174,10.5482831392512
175,10.551946090771
176,10.5556159679558
177,10.5592927286637
178,10.5629763309614
179,10.5666667331236
180,10.5703638936324
181,10.5740677711772
182,10.5777783246536
183,10.5814955131636
184,10.5852192960143
185,10.5889496327182
